Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,17/12/16,Rennes,Bastia,1,2,A,0,0,D,12,14,4,4,15,11,6,6,1,0,0,0
F1,17/12/16,Toulouse,Nancy,1,1,D,0,1,A,5,10,2,3,17,12,3,3,1,3,0,0
F1,18/12/16,Caen,Metz,3,0,H,1,0,H,17,16,8,3,8,13,4,6,2,3,0,1
F1,18/12/16,Marseille,Lille,2,0,H,0,0,D,13,13,5,4,13,15,6,2,0,0,0,0
F1,18/12/16,Monaco,Lyon,1,3,A,0,1,A,13,17,4,10,20,20,6,9,4,2,1,0
F1,18/12/16,Nice,Dijon,2,1,H,1,1,D,8,11,3,4,13,21,3,3,1,3,0,1
F1,21/12/16,Bastia,Marseille,1,2,A,0,1,A,17,7,4,3,7,13,6,4,1,3,0,0
F1,21/12/16,Bordeaux,Nice,0,0,D,0,0,D,15,15,3,4,16,8,8,0,2,2,0,2
F1,21/12/16,Dijon,Toulouse,2,0,H,0,0,D,11,6,6,3,12,19,3,5,2,4,0,0
F1,21/12/16,Lille,Rennes,1,1,D,0,1,A,18,10,6,4,11,20,2,1,1,1,0,0
F1,21/12/16,Lyon,Angers,2,0,H,1,0,H,14,11,3,3,12,15,7,3,0,2,0,0
F1,21/12/16,Metz,Guingamp,2,2,D,1,0,H,9,9,4,4,16,11,5,2,2,1,0,0
F1,21/12/16,Monaco,Caen,2,1,H,0,0,D,21,16,6,5,15,12,5,2,3,0,0,1
F1,21/12/16,Nantes,Montpellier,1,0,H,1,0,H,5,18,2,4,15,12,2,8,2,0,0,0
F1,21/12/16,Paris SG,Lorient,5,0,H,2,0,H,19,4,7,1,8,10,13,3,0,1,0,0
F1,21/12/16,St Etienne,Nancy,0,0,D,0,0,D,18,5,3,3,15,11,12,2,1,1,0,1,2
F1,13/01/17,Lille,St Etienne,1,1,D,0,1,A,22,8,8,3,14,14,6,4,0,3,0,0
F1,14/01/17,Angers,Bordeaux,1,1,D,1,1,D,7,9,3,0,15,16,2,3,4,3,0,0
F1,14/01/17,Lorient,Guingamp,3,1,H,0,1,A,16,12,5,7,12,14,3,6,2,3,0,0
F1,14/01/17,Montpellier,Dijon,1,1,D,0,1,A,24,6,3,2,8,12,14,5,0,0,0,0
F1,14/01/17,Nancy,Bastia,1,0,H,0,0,D,15,11,4,2,10,13,6,5,2,0,0,1
F1,14/01/17,Rennes,Paris SG,0,1,A,0,1,A,12,9,1,4,15,7,5,2,0,2,0,0
F1,14/01/17,Toulouse,Nantes,0,1,A,0,1,A,15,8,4,1,11,17,7,3,1,3,0,0
F1,15/01/17,Caen,Lyon,3,2,H,2,2,D,12,16,5,5,26,21,7,5,3,3,0,0
F1,15/01/17,Marseille,Monaco,1,4,A,1,3,A,8,14,3,9,7,7,11,6,1,1,0,0,3
F1,15/01/17,Nice,Metz,0,0,D,0,0,D,12,15,2,3,16,13,3,4,2,1,0,0
F1,18/01/17,Nantes,Caen,1,0,H,0,0,D,16,9,6,3,12,9,5,4,2,2,0,0,2
