Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,Winner,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,23/10/2016,Metz,Nice,2,4,Nice,1,2,A,9,17,5,8,17,1,4,3,4,0,0,0
F1,23/10/2016,Paris SG,Marseille,0,0,N,0,0,D,17,0,3,0,4,10,9,0,0,2,0,0
F1,28/10/2016,Lille,Paris SG,0,1,Paris SG,0,0,D,10,17,1,7,21,17,2,4,2,1,0,0
F1,29/10/2016,Bastia,Dijon,0,0,N,0,0,D,19,8,11,2,11,25,13,5,1,1,0,0
F1,29/10/2016,Guingamp,Angers,1,0,Guingamp,0,0,D,13,15,5,3,9,12,7,5,1,3,0,0
F1,29/10/2016,Lorient,Montpellier,2,2,N,2,1,H,17,8,3,4,13,9,5,5,2,1,0,0
F1,29/10/2016,Nancy,Caen,2,0,Nancy,2,0,H,11,14,3,5,17,10,4,3,3,3,0,0
F1,29/10/2016,St Etienne,Monaco,1,1,N,1,1,D,8,13,2,6,11,15,4,9,0,4,0,0
F1,29/10/2016,Toulouse,Lyon,1,2,Lyon,1,1,D,12,7,1,3,16,16,3,2,2,2,0,1
F1,30/10/2016,Marseille,Bordeaux,0,0,N,0,0,D,10,5,3,1,13,8,3,0,1,1,0,0
F1,30/10/2016,Nice,Nantes,4,1,Nice,2,0,H,12,16,7,4,12,19,2,4,1,3,0,0
F1,30/10/2016,Rennes,Metz,1,0,Rennes,0,0,D,10,8,4,2,9,17,3,4,0,3,0,0
F1,04/11/2016,Montpellier,Marseille,3,1,Montpellier,2,0,H,13,10,4,2,10,9,1,5,1,1,0,0
F1,05/11/2016,Angers,Lille,1,0,Angers,0,0,D,9,6,1,1,14,12,2,3,0,0,0,0
F1,05/11/2016,Bordeaux,Lorient,2,1,Bordeaux,1,0,H,12,9,6,1,2,10,4,7,3,2,0,1
F1,05/11/2016,Dijon,Guingamp,3,3,N,3,1,H,13,14,7,6,12,17,6,3,0,1,0,0
